,catid,surfacedensity,surfacedensity_err,completenesscorrection,areacorrection,surfacedensityflag,surfacedensity_m19,surfacedensity_err_m19,completenesscorrection_m19,areacorrection_m19,surfacedensityflag_m19
192,508481,1.501,0.2768,1.0714668,1.0,0,1.501,0.2768,1.0714668,1.0,0
193,599839,0.623,0.1223,1.0,1.0,0,0.58,0.2636,1.0,1.0,0
194,599095,0.264,0.0454,1.0,1.0,0,0.264,0.0454,1.0,1.0,0
195,227079,1.035,0.1472,1.0714668,1.1771297,1,0.938,0.1584,1.0714668,1.2021455,1
196,508188,4.843,1.2076,1.0384216,1.0,0,4.843,1.2076,1.0384216,1.0,0
197,239172,0.811,0.0585,1.099989,1.0,0,0.595,0.0168,1.099989,1.0,0
198,460298,0.731,0.0797,1.0435146,1.9299423,1,0.644,0.1213,1.0435146,1.9351579,1
199,98143,0.326,0.3603,1.0,1.0,0,0.326,0.3603,1.0,1.0,0
200,296859,4.459,0.5527,1.0357327,1.0,0,4.459,0.5527,1.0357327,1.0,0
201,517594,0.317,0.0486,1.0,1.3545965,1,0.317,0.0486,1.0,1.3545965,1
202,537171,0.402,0.0813,1.0,1.0,0,0.402,0.0813,1.0,1.0,0
203,567625,1.165,0.1943,1.0908694,1.0,0,1.165,0.1943,1.0908694,1.0,0
204,387241,nan,nan,nan,nan,9,0.018,0.0148,1.0,1.2987491,1
205,560718,1.005,0.1634,1.0555204,1.0053347,1,0.791,0.013,1.0555204,1.0413177,1
206,92743,6.849,0.6115,1.0714668,1.0,0,6.849,0.6115,1.0714668,1.0,0
207,419334,3.942,8.0728,1.0714668,1.0,0,3.942,8.0728,1.0714668,1.0,0
208,594967,14.748,2.434,1.0588733,1.0,0,14.748,2.434,1.0588733,1.0,0
209,77153,0.646,0.1086,1.049979,1.2027638,1,0.625,0.1037,1.049979,1.2107782,1
210,279578,0.387,0.0705,1.0,1.0,0,0.387,0.0705,1.0,1.0,0
211,544892,0.671,0.1084,1.0,1.0,0,0.469,0.0901,1.0,1.0,0
212,38993,2.255,4.8401,1.0,1.0,0,1.171,0.6327,1.0,1.0,0
213,8222,0.024,0.0036,1.1538018,1.0,0,0.024,0.0036,1.1538018,1.0,0
214,56183,0.534,0.0834,1.0,1.0,0,0.515,0.0873,1.0,1.0,0
215,184015,3.559,0.5768,1.0,1.0,0,3.559,0.5768,1.0,1.0,0
216,425744,0.039,0.0329,1.0,1.980128,1,0.039,0.0329,1.0,1.980128,1
217,647226,0.761,0.741,1.0,1.0,0,0.761,0.741,1.0,1.0,0
218,279891,0.183,0.0125,1.0,1.0628461,1,0.163,0.0165,1.0,1.0882323,1
219,325545,0.448,0.2655,1.0,1.8977013,1,0.448,0.2655,1.0,1.8977013,1
220,278551,0.167,0.0171,1.0344471,1.0,0,0.167,0.0171,1.0344471,1.0,0
221,49857,1.313,0.2546,1.0,1.0,0,1.313,0.2546,1.0,1.0,0
222,22070,0.073,0.0144,1.0,1.1431142,1,0.073,0.0144,1.0,1.1431142,1
223,53995,0.123,0.0299,1.0,1.0,0,0.123,0.0299,1.0,1.0,0
224,54359,0.036,0.0063,1.0400416,1.0,0,0.034,0.0059,1.0400416,1.0,0
225,319288,0.839,0.1512,1.0,1.0,0,0.745,0.2452,1.0,1.0,0
226,511867,3.124,3.2067,1.0,1.0,0,3.124,3.2067,1.0,1.0,0
227,209708,0.249,0.0672,1.0,1.0,0,0.248,0.0489,1.0,1.0,0
228,31873,0.073,0.0622,1.0,1.0,0,0.073,0.0622,1.0,1.0,0
229,622033,0.222,0.032,1.0,1.0,0,0.222,0.1005,1.0,1.0,0
230,372926,0.518,0.0915,1.0,1.0,0,0.518,0.0915,1.0,1.0,0
231,185265,3.988,0.5496,1.0344471,1.0,0,2.198,0.1909,1.0344471,1.0,0
232,79743,14.577,2.4756,1.0400416,1.0,0,14.293,2.6999,1.0400416,1.0,0
233,551028,0.814,0.8752,1.0,1.0,0,0.814,0.8752,1.0,1.0,0
234,203765,0.819,0.1342,1.0,1.0,0,0.794,0.1391,1.0,1.0,0
235,209742,nan,nan,nan,nan,9,nan,nan,-1.0,1.0,8
236,185266,0.442,0.1092,1.0344471,1.3998371,1,4.135,nan,1.0344471,1.0,2
237,422275,1.034,0.1387,1.0666667,1.0094911,1,0.575,0.0146,1.0666667,1.1261717,1
238,230628,1.026,0.3786,1.0714668,1.9057164,1,1.026,0.3786,1.0714668,1.9057164,1
239,99932,0.06,0.0156,1.0666667,1.0,0,0.06,0.0156,1.0666667,1.0,0
240,203148,0.345,0.1199,1.0,1.0,0,0.187,0.0884,1.0,1.0,0
241,278865,8.538,3.844,1.0624734,1.0,0,8.538,3.844,1.0624734,1.0,0
242,238328,1.083,0.276,1.0666667,1.0,0,1.083,0.276,1.0666667,1.0,0
243,177518,0.238,0.0473,1.0714668,1.6812179,1,0.223,0.0611,1.0714668,1.6897466,1
244,505620,0.342,0.0523,1.0384216,1.7275051,1,0.326,0.0599,1.0384216,1.7333366,1
245,209613,0.087,0.0039,1.0,1.0,0,0.087,0.0039,1.0,1.0,0
246,623141,1.309,0.2909,1.0833063,1.0,0,1.309,0.2909,1.0833063,1.0,0
247,375376,nan,nan,nan,nan,9,0.046,0.0089,1.1176931,1.992944,1
248,509892,0.167,0.4611,1.0416667,1.7601105,1,0.142,0.0359,1.0416667,1.7777667,1
249,303131,0.472,0.0556,1.0,1.8053199,1,0.338,0.0395,1.0,1.8339981,1
250,381499,0.593,0.1046,1.0,1.0,0,0.573,0.0986,1.0,1.0,0
251,48506,0.092,0.0151,1.0,1.0,0,0.092,0.0151,1.0,1.0,0
252,204096,0.09,0.0161,1.0,1.0,0,0.08,0.0186,1.0,1.0,0
253,572404,0.291,0.0571,1.0,1.0,0,0.269,0.053,1.0,1.0,0
254,70107,0.073,0.0381,1.0,1.0332098,1,0.064,0.01,1.0,1.0574603,1
255,544674,0.557,0.0831,1.0714668,1.0,0,0.538,0.0977,1.0714668,1.0,0
256,17273,0.019,0.0076,1.0,1.387314,1,0.019,0.0076,1.0,1.387314,1
257,53977,0.177,0.0264,1.0,1.0,0,0.177,0.0264,1.0,1.0,0
258,55537,0.156,0.0176,1.0,1.0,0,0.156,0.0176,1.0,1.0,0
259,85474,5.705,1.1357,1.0,1.0,0,3.433,1.2082,1.0,1.0,0
260,558887,0.468,0.0925,1.0,1.3515822,1,0.467,0.0927,1.0,1.3518959,1
261,463434,0.668,0.1282,1.0,1.0,0,0.668,0.1282,1.0,1.0,0
262,570114,2.55,0.7511,1.0435146,1.0,0,0.948,2.2866,1.0435146,1.0,0
263,302996,0.042,0.0413,1.1176931,1.0982425,1,0.042,0.0413,1.1176931,1.0982425,1
264,16083,0.145,0.0236,1.0,1.0,0,0.145,0.0236,1.0,1.0,0
265,492232,0.191,0.1433,1.0454783,1.0,0,0.191,0.1433,1.0454783,1.0,0
266,220371,15.796,2.8298,1.0,1.0,0,14.743,3.1863,1.0,1.0,0
267,214673,1.444,0.9341,1.0,1.0,0,0.425,0.7303,1.0,1.0,0
268,79670,6.816,0.9462,1.0,1.0,0,6.468,1.4777,1.0,1.0,0
269,299120,0.215,0.0294,1.0400416,1.7864633,1,0.215,0.0294,1.0400416,1.7864633,1
270,39263,0.236,0.0446,1.0,1.0,0,0.236,0.0446,1.0,1.0,0
271,485362,0.335,0.0789,1.0,1.6409068,1,0.335,0.0789,1.0,1.6409068,1
272,31452,1.93,0.1693,1.0,1.0,0,1.53,0.2847,1.0,1.0,0
273,9115,0.106,0.0224,1.0714668,1.1486754,1,0.055,0.0092,1.0714668,1.3144746,1
274,92944,1.63,0.2646,1.0475593,1.0,0,1.59,0.7955,1.0475593,1.0,0
275,599591,0.68,0.1865,1.0,1.0,0,0.411,0.1327,1.0,1.0,0
276,278363,0.078,0.3002,1.0,1.0,0,0.078,0.3002,1.0,1.0,0
277,238393,17.801,1.7675,1.0,1.0,0,17.801,1.7675,1.0,1.0,0
278,204892,0.106,0.0274,1.0,1.0153693,1,0.065,0.0193,1.0,1.1118544,1
279,619191,1.255,0.2258,1.0,1.0,0,1.172,0.1679,1.0,1.0,0
280,210808,1.249,0.2016,1.0,1.0,0,1.249,0.2016,1.0,1.0,0
281,272913,0.513,0.0883,1.0555204,1.0,0,0.513,0.0883,1.0555204,1.0,0
282,386898,0.311,0.1296,1.0,1.0,0,0.221,0.0288,1.0,1.0,0
283,8353,1.766,0.0261,1.0869565,1.0,0,1.448,0.1435,1.0869565,1.0,0
284,610047,0.386,0.0758,1.0,1.0,0,0.386,0.0758,1.0,1.0,0
285,296776,0.043,0.0076,1.0,1.0,0,0.043,0.0076,1.0,1.0,0
286,55150,0.087,0.0157,1.0370218,1.0,0,0.087,0.0157,1.0370218,1.0,0
287,77170,0.626,0.1107,1.0,1.3004626,1,0.594,0.1027,1.0,1.3138276,1
288,535776,0.105,0.0384,1.0,1.0,0,0.105,0.0384,1.0,1.0,0
289,251367,2.462,0.486,1.0,1.0,0,2.462,0.6903,1.0,1.0,0
290,348149,0.542,1.1116,1.0,1.0,0,0.542,1.1116,1.0,1.0,0
291,324611,0.135,0.0577,1.0,1.1858867,1,0.135,0.0577,1.0,1.1858867,1
292,301346,1.019,0.1513,1.1111112,1.0,0,0.792,0.1022,1.1111112,1.0,0
293,513221,1.783,0.7467,1.0,1.0,0,1.783,0.7467,1.0,1.0,0
294,278741,18.238,15.0714,1.0,1.0,0,1.451,0.6605,1.0,1.0,0
295,485549,0.4,0.1202,1.0,1.7296407,1,0.4,0.1302,1.0,1.7296407,1
296,568552,3.182,4.2123,1.0,1.0,0,3.148,1.0277,1.0,1.0,0
297,550844,0.031,0.0044,1.0,1.0,0,0.031,0.0044,1.0,1.0,0
298,321265,0.013,0.0022,1.0,1.1445477,1,0.013,0.0022,1.0,1.1445477,1
299,196565,0.093,0.0057,1.0666667,1.0149107,1,0.078,0.0139,1.0666667,1.0440152,1
300,507878,0.149,0.02,1.1332729,1.5830653,1,0.118,0.0128,1.1332729,1.6245643,1
301,55372,0.364,0.0433,1.0,1.0,0,0.333,0.0616,1.0,1.0,0
302,62412,1.083,0.0489,1.0588733,1.0,0,1.083,0.0489,1.0588733,1.0,0
