target_name,califaid,raj2000,dej2000,redshift,sdss_z,maj_axis,mstar,mstar_min,mstar_max,chi2,vmax_nocorr,vmax_denscorr,magu,err_magu,u_ext,abs_u_min,abs_u_max,magg,err_magg,g_ext,abs_g_min,abs_g_max,magr,err_magr,r_ext,abs_r_min,abs_r_max,magi,err_magi,i_ext,abs_i_min,abs_i_max,magz,err_magz,z_ext,abs_z_min,abs_z_max,hubtyp,minhubtyp,maxhubtyp,bar,flag_release_comb,flag_release_v1200,flag_release_v500,axis_ratio,position_angle,el_hlr,modmag_r
UGC05359,307,149.71519470214844,19.21497917175293,0.0295,0.0283,45.14,10.625,10.514,10.728,0.54536,1280000.0,1410000.0,16.00025,16.00025,,-19.829,-19.701,14.55703,14.55703,,-21.102,-21.049,13.9458,13.9458,,-21.644,-21.608,13.58363,13.58363,,-22.003,-21.95,13.39589,13.39589,,-22.317,-22.224,S b,S a,S c,B (A .. B),1,1,1,0.37307,94.89858,15.444,
UGC05396,309,150.41868591308594,10.756429672241211,0.0194,0.0181,46.1,10.283,10.177,10.386,0.45442,358000.0,246000.0,15.53473,15.53473,,-19.298,-19.165,14.32051,14.32051,,-20.466,-20.419,13.72759,13.72759,,-20.953,-20.922,13.39361,13.39361,,-21.287,-21.236,13.195,13.195,,-21.58,-21.494,S bc,S b,S c,AB (A .. B),1,1,1,0.27323,151.74052,21.78,
SDSSJ100141.02+371447.4,310,150.42149353027344,37.24768829345703,0.0066,0.0052,55.42,8.7032,8.6037,8.809,2.2977,9910.0,14800.0,15.08592,15.08592,,-17.309,-17.17,14.23425,14.23425,,-18.118,-18.061,14.03934,14.03934,,-18.262,-18.244,13.83164,13.83164,,-18.441,-18.39,13.83448,13.83448,,-18.638,-18.558,S m,S c,S r,AB (A .. AB),1,1,1,0.43394,255.48683,26.136,
NGC3106,311,151.02188110351562,31.18545913696289,0.0219,0.0207,48.56,11.212,11.053,11.368,1.3283,631000.0,567000.0,14.53858,14.53858,,-20.91,-20.576,12.79094,12.79094,,-22.215,-22.078,12.0961,12.0961,,-22.794,-22.73,11.62551,11.62551,,-23.199,-23.098,11.57211,11.57211,,-23.552,-23.396,S ab,S 0,S r,A,1,1,1,0.93089,140.91008,21.384,
NGC3057,312,151.4146270751953,80.28666687011719,0.0063,0.0051,53.06,9.0736,8.9721,9.1858,1.5094,6270.0,9660.0,14.15731,14.15731,,-18.273,-17.939,13.2447,13.2447,,-19.067,-18.896,12.95212,12.95212,,-19.171,-19.111,12.71195,12.71195,,-19.317,-19.289,12.76391,12.76391,,-19.513,-19.458,S dm,S c,S r,B,1,1,1,0.58322,181.92256,32.868,
UGC05498NED01,314,153.01524353027344,23.085439682006836,0.0221,0.021,70.14,10.805,10.704,10.911,0.021778,1400000.0,1350000.0,15.9939,15.9939,,-19.175,-19.038,14.40705,14.40705,,-20.647,-20.604,13.61825,13.61825,,-21.364,-21.325,13.17304,13.17304,,-21.805,-21.751,12.82768,12.82768,,-22.191,-22.083,S a (m),S a,S b,A (A .. AB),1,1,1,0.23982,60.51846,13.86,
NGC3158,318,153.4604949951172,38.76490020751953,0.0245,0.0231,60.8,11.738,11.582,11.895,4.7724,1460000.0,1750000.0,14.23199,14.23199,,-21.582,-21.247,12.11406,12.11406,,-23.024,-22.88,11.32732,11.32732,,-23.704,-23.627,10.68158,10.68158,,-24.151,-24.055,10.837,10.837,,-24.544,-24.39,E 3,E 2,E 6,A,1,1,1,0.85163,152.16208,32.472,
NGC3160,319,153.47964477539062,38.84292984008789,0.0243,0.0229,63.92,10.954,10.864,11.05,0.89262,1410000.0,1680000.0,16.18455,16.18455,,-19.159,-19.026,14.49481,14.49481,,-20.729,-20.687,13.62833,13.62833,,-21.512,-21.472,13.17097,13.17097,,-21.979,-21.929,12.90949,12.90949,,-22.375,-22.275,S ab,S ab,S ab,AB (A .. AB),0,0,1,0.28539,138.94835,15.048,
UGC05520,320,153.75180053710938,65.13992309570312,0.0122,0.011,48.18,9.7564,9.6486,9.8718,0.36749,92200.0,52800.0,14.6451,14.6451,,-19.185,-19.043,13.68899,13.68899,,-20.105,-20.052,13.30684,13.30684,,-20.369,-20.349,13.08658,13.08658,,-20.612,-20.561,12.88658,12.88658,,-20.853,-20.772,S cd,S c,S d,B,0,0,1,0.48378,98.92714,21.78,
NGC3182,323,154.88763427734375,58.20573043823242,0.0082,0.007,50.67,10.399,10.26,10.537,0.094678,26000.0,26000.0,14.05684,14.05684,,-19.029,-18.735,12.49376,12.49376,,-20.312,-20.187,11.91442,11.91442,,-20.857,-20.807,11.61079,11.61079,,-21.244,-21.166,11.22987,11.22987,,-21.588,-21.462,E 7,E 4,E a,A,0,0,1,0.82819,141.5943,17.424,
