#####################################################################
# This is Table 4 from the paper McDermid et. al (2015)
# "The Atlas3D project -- XXX.  Star formation histories and stellar 
#  population scaling relations of early-type galaxies 
#
# Table title: Mass-weighted stellar population properties
#              measured within Re
#
# Column descriptions:
#  (1) Galaxy name.
#  (2) Mass-weighted age.
#  (3) Mass-weighted metallicity.
#  (4) Half-mass formation time.
#
#####################################################################
#   Name    |     Age_SHF     |     [Z/H]_SFH    |       t50        |
#           |       Gyr       |                  |       Gyr        |
#   (1)     |       (2)       |        (3)       |       (4)        |
#####################################################################
   NGC5322    10.94 +/- 0.65     -0.10 +/- 0.02      2.76 +/- 0.65
   NGC5342    13.78 +/- 0.69     -0.27 +/- 0.02      0.65 +/- 0.69
   NGC5353    13.46 +/- 0.69      0.08 +/- 0.02      0.87 +/- 0.69
   NGC5355     5.73 +/- 1.33     -0.19 +/- 0.05      7.61 +/- 1.33
   NGC5358    10.62 +/- 0.64     -0.35 +/- 0.02      3.23 +/- 0.64
   NGC5379     6.20 +/- 0.98     -0.36 +/- 0.11      7.03 +/- 0.98
   NGC5422    13.23 +/- 0.70     -0.16 +/- 0.02      1.03 +/- 0.70
   NGC5473    11.63 +/- 0.65     -0.10 +/- 0.02      2.31 +/- 0.65
   NGC5475     8.68 +/- 0.70     -0.16 +/- 0.03      4.79 +/- 0.70
   NGC5481    10.18 +/- 0.69     -0.42 +/- 0.07      3.55 +/- 0.69
   NGC5485    12.78 +/- 0.75     -0.12 +/- 0.02      1.40 +/- 0.75
   NGC5493     6.31 +/- 0.87     -0.15 +/- 0.04      7.80 +/- 0.87
   NGC5500     9.80 +/- 0.69     -0.45 +/- 0.06      3.87 +/- 0.69
   NGC5507    13.72 +/- 0.69     -0.13 +/- 0.02      0.70 +/- 0.69
   NGC5557    11.17 +/- 0.73     -0.13 +/- 0.04      2.70 +/- 0.73
   NGC5574     4.75 +/- 1.16     -0.25 +/- 0.06      9.01 +/- 1.16
   NGC5576    11.38 +/- 0.66     -0.29 +/- 0.02      2.57 +/- 0.66
   NGC5582    13.50 +/- 0.68     -0.33 +/- 0.02      0.84 +/- 0.68
   NGC5611    10.72 +/- 0.67     -0.27 +/- 0.02      3.43 +/- 0.67
   NGC5631     8.21 +/- 0.62     -0.12 +/- 0.03      5.64 +/- 0.62
   NGC5638    12.94 +/- 0.66     -0.17 +/- 0.02      1.24 +/- 0.66
   NGC5687    13.12 +/- 0.73     -0.14 +/- 0.01      1.10 +/- 0.73
   NGC5770     8.01 +/- 0.98     -0.29 +/- 0.04      5.41 +/- 0.98
   NGC5813    13.37 +/- 0.72     -0.02 +/- 0.02      0.94 +/- 0.72
   NGC5831     9.29 +/- 0.98     -0.18 +/- 0.06      4.31 +/- 0.98
   NGC5838    13.49 +/- 0.68     -0.05 +/- 0.02      0.84 +/- 0.68
   NGC5839    13.35 +/- 0.74     -0.10 +/- 0.02      0.95 +/- 0.74
   NGC5845    13.49 +/- 0.68     -0.03 +/- 0.02      0.86 +/- 0.68
   NGC5846    12.66 +/- 0.79      0.10 +/- 0.02      1.51 +/- 0.79
   NGC5854     6.59 +/- 0.87     -0.41 +/- 0.03      7.38 +/- 0.87
   NGC5864     7.63 +/- 0.65     -0.18 +/- 0.03      5.77 +/- 0.65
   NGC5866     8.37 +/- 0.48     -0.16 +/- 0.02      5.75 +/- 0.48
   NGC5869    11.96 +/- 0.73     -0.11 +/- 0.02      2.07 +/- 0.73
   NGC6010    10.73 +/- 0.84     -0.14 +/- 0.04      3.07 +/- 0.84
   NGC6014     6.13 +/- 1.50     -0.27 +/- 0.03      7.09 +/- 1.50
   NGC6017     7.88 +/- 0.69     -0.39 +/- 0.04      6.14 +/- 0.69
   NGC6149    10.50 +/- 0.78     -0.40 +/- 0.02      3.56 +/- 0.78
   NGC6278    11.29 +/- 0.80      0.03 +/- 0.05      2.58 +/- 0.80
   NGC6547     8.98 +/- 0.73     -0.03 +/- 0.02      4.95 +/- 0.73
   NGC6548     9.99 +/- 0.91     -0.04 +/- 0.02      3.50 +/- 0.91
   NGC6703    12.50 +/- 0.75     -0.17 +/- 0.03      1.61 +/- 0.75
   NGC6798    10.58 +/- 0.76     -0.22 +/- 0.02      3.37 +/- 0.76
   NGC7280     5.61 +/- 1.05     -0.10 +/- 0.05      8.28 +/- 1.05
   NGC7332     6.68 +/- 0.58     -0.14 +/- 0.03      7.39 +/- 0.58
   NGC7454     9.01 +/- 0.77     -0.34 +/- 0.03      4.93 +/- 0.77
   NGC7457     6.11 +/- 0.75     -0.19 +/- 0.04      7.69 +/- 0.75
   NGC7465     6.37 +/- 1.43     -0.59 +/- 0.11      6.68 +/- 1.43
   NGC7693     5.56 +/- 1.38     -0.50 +/- 0.11      7.64 +/- 1.38
   NGC7710    10.52 +/- 0.79     -0.46 +/- 0.03      3.24 +/- 0.79
 PGC016060     8.14 +/- 0.83     -0.28 +/- 0.06      5.30 +/- 0.83
 PGC028887    12.96 +/- 0.65     -0.49 +/- 0.03      1.19 +/- 0.65
 PGC029321     6.02 +/- 1.32     -0.35 +/- 0.12      7.10 +/- 1.32
 PGC035754    11.07 +/- 0.73     -0.44 +/- 0.02      2.91 +/- 0.73
 PGC042549     7.06 +/- 0.86     -0.28 +/- 0.07      6.26 +/- 0.86
 PGC044433    12.58 +/- 0.69     -0.16 +/- 0.02      1.59 +/- 0.69
 PGC050395     9.32 +/- 0.65     -0.36 +/- 0.04      4.40 +/- 0.65
 PGC051753    10.96 +/- 0.84     -0.43 +/- 0.04      2.85 +/- 0.84
 PGC054452     6.40 +/- 0.93     -0.20 +/- 0.07      6.86 +/- 0.93
 PGC056772     6.39 +/- 1.31     -0.48 +/- 0.08      6.81 +/- 1.31
 PGC058114     9.60 +/- 0.55     -1.06 +/- 0.06      4.05 +/- 0.55
 PGC061468     6.95 +/- 1.24     -0.52 +/- 0.06      6.37 +/- 1.24
 PGC071531     6.76 +/- 1.27     -0.18 +/- 0.08      6.54 +/- 1.27
 PGC170172     6.13 +/- 1.24     -0.18 +/- 0.10      7.12 +/- 1.24
  UGC03960     9.91 +/- 0.88     -0.55 +/- 0.05      3.77 +/- 0.88
  UGC04551    12.80 +/- 0.69     -0.17 +/- 0.01      1.38 +/- 0.69
  UGC05408     5.59 +/- 0.83     -0.98 +/- 0.07      7.58 +/- 0.83
  UGC06062    13.05 +/- 0.67     -0.22 +/- 0.02      1.16 +/- 0.67
  UGC06176     5.06 +/- 1.37     -0.33 +/- 0.08      8.07 +/- 1.37
  UGC08876    13.20 +/- 0.73     -0.22 +/- 0.02      1.04 +/- 0.73
  UGC09519     4.11 +/- 0.39     -0.12 +/- 0.05      9.61 +/- 0.39
