##########################################################################################################################################
# This table combines information from Table C1 of Krajnovic et al. (2013, MNRAS, 433, 2812) and Table 2 of Krajnovic et al. (2020, A&A)
# Information about the meaning of the columns follows Table C1 of Krajnovic et al. (2013). When using the information from the full table
# please refer to both papers. 
#
# Sources: a - Ferrarese et al. (2006), b1 - Lauer et al. (2005), b2 - Rest et al. (2001), b3 - Ravindranath et al. (2004), 
#          b4 - Quillen et al. (2000), c - Krajnovic et al. (2013) based on ACS archival imaging, 
#          d - Krajnovic et al. (2013) based on WFPC2/PC archival imaging, e - Krajnovic et al. (2020) based on WFC3 imaging.
#
# Note: negative values in columns 12 and 13 indicated upper limits (e.g. -0.10 --> <0.10)
#
# Table title: Fitting parameters for Atlas3D galaxies
##########################################################################################################################################
# Galaxy | Source | Class |  Filter |     Rb   |     mu   |   alpha  |    beta   |    gamma  |    gamma' |    RMS  |    Rgamma |  Rgamma |  
#        |        |       |         | (arcsec) |          |          |           |           |           |         |  (arcsec) |   (pc)  |
#    (1) |  (2)   |  (3)  |   (4)   |    (5)   |    (6)   |    (7)   |    (8)    |    (9)    |    (10)   |   (11)  |    (12)   |   (13)  | 
##########################################################################################################################################
  NGC4486A   a        3    F475W      13.38      21.14       1.03       4.34        0.70        0.72       0.60      -0.10        -8.87   
   NGC4489   a        3    F475W       1.89      18.13       1.05       2.21        0.57        0.64       0.01      -0.10        -7.47   
   NGC4494  b1        3        -       2.82      17.19       0.70       1.88        0.52        0.55          -       0.04         3.22   
   NGC4503  b2        3        -       1.65      17.14       1.80       1.30        0.64        0.65          -      -0.10        -8.00   
   NGC4521   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC4526   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC4528   a        3    F475W      51.50      24.00       1.16       5.90        0.97        0.97       0.10      -0.10        -7.66   
   NGC4546   d        3    F606W       2.07      17.21       1.44       1.68        0.78        0.79       0.01      -0.10        -6.64   
   NGC4550   a        2    F475W       9.32      18.52       5.00       1.83        0.57        0.57       0.03      -0.10        -7.51   
   NGC4551   a        3    F475W      54.71      24.00       1.09       5.91        0.75        0.76       0.02      -0.10        -7.81   
   NGC4552   a        1    F475W       0.10      14.69       0.26       2.91       -3.00       -0.03       0.03       0.42        32.17   
   NGC4564   a        3    F475W     100.00      23.97       0.79       4.92        0.79        0.81       0.09      -0.10        -7.66   
   NGC4570   a        3    F475W       4.53      17.51       3.22       1.56        0.85        0.85       0.02      -0.10        -8.29   
   NGC4578   a        3    F475W       3.95      18.39       4.75       1.55        0.89        0.89       0.02      -0.10        -7.90   
   NGC4596   d        3    F555W       5.30      19.40       2.99       2.70        0.77        0.77       0.09      -0.10        -8.00   
   NGC4608   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC4612   a        3    F475W       1.77      17.14       4.46       1.71        0.64        0.64       0.01      -0.10        -8.05   
   NGC4621   a        3    F475W       7.95      18.09       0.06       5.47       -3.00        0.68       0.04       0.02         1.66   
   NGC4623   a        3    F475W      10.18      20.06       0.75       0.10        2.12        2.06       0.85      -0.10        -8.44   
   NGC4624   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC4636   d        1    F814W      10.00      19.75       2.00       6.45        0.26        0.26       0.07       2.01       139.24   
   NGC4638   a        3    F475W       6.84      18.07       5.00       1.99        0.77        0.77       0.04      -0.10        -8.48   
   NGC4643   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC4649   a        1    F475W       5.05      17.16       1.66       1.60        0.14        0.14       0.01       2.58       216.12   
   NGC4660  b1        3        -       1.76      16.34       5.61       1.50        0.91        0.91          -       0.04         2.91   
   NGC4684   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC4690   e        3    F814W       0.05      13.12       5.00       1.27        0.42        1.24       0.04      -0.10       -19.49   
   NGC4694   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC4697   c        3    F475W       2.35      17.35       0.07       0.00        1.47        0.82       0.09      -0.10        -5.53   
   NGC4710   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC4733   d        2    F555W       3.94      20.56       1.82       1.95        0.35        0.35       0.03       1.13        79.63   
   NGC4753   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC4754   a        3    F475W     100.00      23.83       0.44       4.48        0.42        0.60       0.03       0.01         1.09   
   NGC4762   a        3    F475W      75.32      24.00       0.47       5.56        0.16        0.40       0.02       0.24        26.40   
   NGC4803   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC5103   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC5173   d        3    F702W       0.79      16.25       3.61       1.35        0.52        0.52       0.02      -0.10       -18.62   
   NGC5198  b2        1        -       0.16      15.40       2.60       1.13        0.23        0.26          -       0.12        22.17   
   NGC5273   d        3    F606W       0.10      14.95       5.00       2.84        0.54        1.66       0.02      -0.10        -7.81   
   NGC5308   c        3    F475W       0.56      16.15       1.34       1.19        0.78        0.82       0.02      -0.10       -15.27   
   NGC5322   d        1    F555W      13.87      21.23       0.79       5.22        0.05        0.15       0.05       0.71       104.00   
   NGC5342   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC5353   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC5355   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC5358   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC5379   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC5422   d        2    F814W      47.48      24.00       0.40       5.52        0.02        0.45       0.04       0.13        20.04   
   NGC5473   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC5475   c        2    F475W       1.50      19.86       2.29      10.00        0.38        0.40       0.07       0.22        30.83   
   NGC5481   e        3    F814W       2.00      17.55       0.36       3.01       -0.02        0.75       0.03      -0.10       -12.51   
   NGC5485   c        1    F814W       0.73      16.22       4.21       1.01        0.19        0.19       0.03       0.65        79.24   
   NGC5493   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC5500   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC5507   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC5557  b1        1        -       0.80      16.40       0.80       1.68        0.02        0.07          -       0.26        48.89   
   NGC5574   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC5576   d        2    F555W       6.00      18.38       0.41       3.01        0.00        0.47       0.01       0.12        14.10   
   NGC5582   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC5611   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC5631   e        3    F814W       0.05      12.83       1.01       1.27       -0.44        0.70       0.05      -0.10       -13.09   
   NGC5638   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC5687   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC5770   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC5813  b1        1        -       1.15      16.82       1.60       1.60        0.05        0.06          -       0.66        99.82   
   NGC5831   d        3    F702W      36.56      24.00       0.96       7.41        0.77        0.79       0.02      -0.10       -12.80   
   NGC5838  b3        3        -       4.35      17.69       2.60       1.87        0.93        0.93          -      -0.10       -10.57   
   NGC5839   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC5845  b4        3        -       1.38      15.86       2.10       2.18        0.51        0.52          -      -0.10       -12.22   
   NGC5846   d        1    F555W       2.00      18.57       2.01       1.72       -0.03       -0.02       0.04       1.32       154.98   
   NGC5854   d        3    F814W       0.30      14.00       0.27       3.86       -1.10        1.01       0.07       0.02         2.44   
   NGC5864   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC5866   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC5869   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC6010   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC6014   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC6017   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC6149   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC6278  b2        3        -       0.60      16.30       0.80       1.62        0.55        0.67          -      -0.10       -20.80   
   NGC6547   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC6548   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC6703   d        3    F555W       0.07      14.86       5.00       1.12        0.20        0.95       0.01       0.06         7.60   
   NGC6798   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC7280   d        3    F606W       0.10      14.00       3.47       1.26        0.53        0.87       0.04      -0.10       -11.49   
   NGC7332   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC7454   e        3    F814W       0.26      15.16       0.03       4.32       -2.35        0.94       0.05      -0.10       -11.25   
   NGC7457  b1        3        -       0.22      16.33       1.00       1.05       -0.10        0.61          -       0.04         2.50   
   NGC7465   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC7693   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC7710   -        -        -          -          -          -          -           -           -          -          -            -   
 PGC016060   -        -        -          -          -          -          -           -           -          -          -            -   
 PGC028887   e        3    F814W       1.61      17.48       2.72       2.28        0.87        0.87       0.07      -0.10       -19.88   
 PGC029321   -        -        -          -          -          -          -           -           -          -          -            -   
 PGC035754   -        -        -          -          -          -          -           -           -          -          -            -   
 PGC042549   -        -        -          -          -          -          -           -           -          -          -            -   
 PGC044433   -        -        -          -          -          -          -           -           -          -          -            -   
 PGC050395   e        3    F814W       0.89      17.25       5.00       1.34        0.92        0.92       0.03      -0.10       -18.04   
 PGC051753   -        -        -          -          -          -          -           -           -          -          -            -   
 PGC054452   -        -        -          -          -          -          -           -           -          -          -            -   
 PGC056772   -        -        -          -          -          -          -           -           -          -          -            -   
 PGC058114   -        -        -          -          -          -          -           -           -          -          -            -   
 PGC061468   -        -        -          -          -          -          -           -           -          -          -            -   
 PGC071531   -        -        -          -          -          -          -           -           -          -          -            -   
 PGC170172   -        -        -          -          -          -          -           -           -          -          -            -   
  UGC03960   e        3    F814W       2.00      18.50       5.00       1.51        1.05        1.05       0.05      -0.10       -16.10   
  UGC04551  b2        2        -       2.26      17.67       2.20       2.16        0.49        0.49          -       0.22        30.04   
  UGC05408   -        -        -          -          -          -          -           -           -          -          -            -   
  UGC06062  b2        3        -       2.75      18.96       0.90       1.81        0.80        0.82          -      -0.10       -18.76   
  UGC06176   -        -        -          -          -          -          -           -           -          -          -            -   
  UGC08876   -        -        -          -          -          -          -           -           -          -          -            -   
  UGC09519   -        -        -          -          -          -          -           -           -          -          -            -   
##########################################################################################################################################
