###########################################################################
# This is Table B1 from Krajnovic et al. 2020, A&A, 
# "Formation channels of slowly rotating early-type galaxies"
############################################################################
# Table Title: Metalicity and Age gradients of the ATLAS3D Sample
#
# Note: Columns (6) and (7), providing the alpha elements gradients and errors
# do not appear in the paper.
#
# Note: galaxies NGC4268 and PGC170172 do not have measured values. 
#
#Galaxy     D[Z/H]   er_D[Z/H]   DAge     er_DAge    Dalpha  er_Dalpah  HST
# (1)         (2)      (3)       (4)       (5)        (6)      (7)      (8)
############################################################################
NGC4473     -0.334     0.010     0.074     0.009     0.066     0.011     1   
NGC4474     -0.501     0.043     0.411     0.044     0.120     0.020     1   
NGC4476     -0.845     0.070     0.606     0.121     0.341     0.047     1   
NGC4477     -0.234     0.021     0.274     0.026    -0.029     0.012     1   
NGC4478     -0.385     0.023     0.323     0.018     0.155     0.015     1   
NGC4483     -0.452     0.028     0.258     0.016     0.258     0.017     1   
NGC4486     -0.090     0.024     0.000     0.000     0.010     0.029     1   
NGC4486A    -0.147     0.069     0.400     0.081    -0.135     0.019     1   
NGC4489     -0.557     0.032     0.591     0.025     0.220     0.024     1   
NGC4494     -0.201     0.035     0.038     0.025    -0.037     0.013     1   
NGC4503     -0.363     0.037     0.133     0.027     0.129     0.031     1   
NGC4521     -0.349     0.032     0.313     0.048    -0.099     0.033     0   
NGC4526     -0.272     0.015     0.301     0.039     0.066     0.010     1   
NGC4528     -0.500     0.056     0.335     0.035     0.043     0.009     1   
NGC4546     -0.468     0.024     0.136     0.015     0.091     0.019     1   
NGC4550     -0.196     0.023     0.151     0.051    -0.000     0.015     1   
NGC4551     -0.232     0.021     0.253     0.024     0.090     0.027     1   
NGC4552     -0.318     0.032     0.093     0.039     0.027     0.018     1   
NGC4564     -0.468     0.025     0.089     0.018     0.134     0.028     1   
NGC4570     -0.309     0.029     0.080     0.012     0.129     0.013     1   
NGC4578     -0.267     0.026    -0.024     0.021    -0.002     0.020     1   
NGC4596     -0.244     0.043     0.139     0.038     0.053     0.031     1   
NGC4608     -0.219     0.023     0.134     0.017    -0.024     0.047     0   
NGC4612     -0.503     0.082     0.508     0.079     0.140     0.046     1   
NGC4621     -0.244     0.016     0.056     0.022     0.079     0.021     1   
NGC4623     -0.405     0.024     0.225     0.032     0.370     0.025     1   
NGC4624     -0.064     0.016    -0.144     0.026    -0.006     0.013     0   
NGC4636     -0.263     0.024     0.049     0.039     0.091     0.039     1   
NGC4638     -0.465     0.036     0.120     0.037     0.022     0.021     1   
NGC4643     -0.494     0.012     0.529     0.012     0.103     0.019     0   
NGC4649     -0.194     0.010     0.014     0.006     0.037     0.019     1   
NGC4660     -0.404     0.016     0.079     0.020     0.117     0.015     1   
NGC4684     -0.327     0.077     0.390     0.104    -0.164     0.086     0   
NGC4690     -0.205     0.039    -0.348     0.078    -0.048     0.034     1   
NGC4694     -0.556     0.063     0.385     0.069     0.288     0.044     1   
NGC4697     -0.280     0.027    -0.001     0.026     0.009     0.025     1   
NGC4710     -0.158     0.040     0.237     0.028     0.064     0.024     1   
NGC4733     -0.265     0.031     0.152     0.042     0.039     0.018     1   
NGC4753     -0.244     0.051     0.133     0.063     0.044     0.016     0   
NGC4754     -0.253     0.033    -0.001     0.017     0.095     0.010     1   
NGC4762     -0.219     0.038    -0.037     0.038     0.013     0.020     1   
