id,ra,dec,survey,filename,exptime,manga_id,manga_plateifu,sami_catid,sami_cubeidpub,califa_id,califa_name,califa_cube,atlas_name,fov_fits
5625,129.63247680664062,0.012486444786190987,sami,208589_A_cube_blue,12476.0,,,208589,208589_A,,,,,"{{129.635945,0.009014},{129.635945,0.015959},{129.629000,0.015959},{129.629000,0.009014}}"
5626,14.106555938720703,-1.2624025344848633,sami,9011900024_A_cube_blue,12600.0,,,9011900024,9011900024_A,,,,,"{{14.110029,-1.265875},{14.110029,-1.258930},{14.103082,-1.258930},{14.103082,-1.265875}}"
5627,5.990917205810547,-33.12001419067383,sami,9044200248_A_cube_blue,12600.0,,,9044200248,9044200248_A,,,,,"{{5.995063,-33.123486},{5.995063,-33.116541},{5.986771,-33.116541},{5.986771,-33.123486}}"
5628,13.763513565063477,-1.2659305334091187,sami,9011900351_A_cube_blue,11900.0,,,9011900351,9011900351_A,,,,,"{{13.766987,-1.269403},{13.766987,-1.262458},{13.760040,-1.262458},{13.760040,-1.269403}}"
5629,181.4196319580078,1.5751254558563232,sami,220396_A_cube_blue,19800.0,,,220396,220396_A,,,,,"{{181.423112,1.571653},{181.423112,1.578598},{181.416165,1.578598},{181.416165,1.571653}}"
5630,139.5911407470703,2.1702635288238525,sami,383033_A_cube_blue,12600.0,,,383033,383033_A,,,,,"{{139.594613,2.166791},{139.594613,2.173736},{139.587664,2.173736},{139.587664,2.166791}}"
5631,130.53868103027344,2.8952364921569824,sami,521719_A_cube_blue,12600.0,,,521719,521719_A,,,,,"{{130.542157,2.891764},{130.542157,2.898709},{130.535204,2.898709},{130.535204,2.891764}}"
5632,222.67788696289062,-1.72634756565094,sami,487019_A_cube_blue,21600.0,,,487019,487019_A,,,,,"{{222.681362,-1.729820},{222.681362,-1.722875},{222.674415,-1.722875},{222.674415,-1.729820}}"
5633,222.67788696289062,-1.72634756565094,sami,487019_B_cube_blue,12600.0,,,487019,487019_B,,,,,"{{222.681362,-1.729820},{222.681362,-1.722875},{222.674415,-1.722875},{222.674415,-1.729820}}"
5634,179.30438232421875,1.1881804466247559,sami,22862_A_cube_blue,12600.0,,,22862,22862_A,,,,,"{{179.307862,1.184708},{179.307862,1.191653},{179.300916,1.191653},{179.300916,1.184708}}"
5635,336.98394775390625,-30.430431365966797,sami,9388000074_A_cube_blue,12600.0,,,9388000074,9388000074_A,,,,,"{{336.987989,-30.433903},{336.987988,-30.426958},{336.979935,-30.426958},{336.979934,-30.433903}}"
5636,181.0081329345703,1.4449584484100342,sami,272831_A_cube_blue,12600.0,,,272831,272831_A,,,,,"{{181.011612,1.441486},{181.011612,1.448431},{181.004665,1.448431},{181.004665,1.441486}}"
5637,140.3308868408203,2.512958526611328,sami,388479_A_cube_blue,12600.0,,,388479,388479_A,,,,,"{{140.334364,2.509486},{140.334364,2.516431},{140.327413,2.516431},{140.327413,2.509486}}"
5638,132.8567657470703,2.833125352859497,sami,422907_A_cube_blue,10800.0,,,422907,422907_A,,,,,"{{132.860240,2.829653},{132.860240,2.836598},{132.853287,2.836598},{132.853287,2.829653}}"
